iter	Passed	Remaining
133	126350	345106
134	127475	344655
135	128446	343784
136	129303	342607
137	130264	341708
138	131169	340662
139	132242	340053
140	133198	339137
141	134268	338509
142	135219	337575
143	136122	336525
144	136966	335331
145	137851	334241
146	138703	333076
147	139555	331915
148	140613	331244
149	141737	330720
150	142646	329692
151	143582	328728
152	144756	328303
153	145932	327875
154	146855	326872
155	147742	325791
156	149021	325570
157	150007	324698
158	151013	323870
159	151842	322665
160	152712	321549
161	153912	321127
162	154804	320055
163	155768	319135
164	156818	318389
165	157645	317190
166	158612	316274
167	159582	315366
168	160501	314355
169	161457	313418
170	162530	312704
171	162736	310334
172	163707	309435
173	164567	308327
174	165631	307600
175	166975	307386
176	167969	306521
177	168828	305409
178	169817	304533
179	170847	303728
180	171726	302656
181	172656	301674
182	173602	300720
183	174582	299827
184	175517	298854
185	176371	297744
186	177263	296703
187	178142	295641
188	179148	294789
189	180306	294183
190	181262	293247
191	182229	292326
192	183111	291269
193	183959	290162
194	185007	289370
195	185364	287503
196	186232	286439
197	187365	285779
198	188519	285147
199	189437	284156
200	190251	283011
201	191128	281962
202	191850	280687
203	192861	279838
204	193804	278889
205	194707	277882
206	195747	277072
207	196610	276011
208	197666	275219
209	199104	274953
210	200179	274179
211	201165	273281
212	202170	272407
213	203079	271404
214	204376	270917
215	205561	270274
216	206729	269605
217	207847	268867
218	208753	267852
219	209471	266600
220	210420	265643
221	211385	264707
222	212372	263799
223	213456	263009
224	214251	261862
225	215242	260957
226	216206	260019
227	217095	258990
228	218168	258182
229	219347	257494
230	220279	256516
231	221266	255600
232	222172	254592
233	222920	253405
234	223721	252282
235	224786	251456
236	225748	250514
237	226802	249673
238	227965	248949
239	229067	248156
240	229874	247044
241	230726	245981
242	231790	245144
243	232570	244008
244	233623	243159
245	234551	242179
246	235473	241193
247	236438	240252
248	237410	239317
249	238282	238282
250	239560	237651
251	240377	236562
252	241268	235546
253	242220	234591
254	243086	233553
255	244134	232690
256	245262	231902
257	246430	231147
258	247391	230198
259	248375	229269
260	249272	228260
261	250177	227260
262	251115	226290
263	252017	225288
264	253062	224414
265	253875	223333
266	254671	222241
267	255718	221368
268	256675	220416
269	257590	219429
270	258461	218404
271	259275	217333
272	260087	216263
273	261092	215353
274	261904	214285
275	262847	213325
276	263951	212495
277	264852	211501
278	265703	210467
279	266459	209361
280	267431	208425
281	268599	207640
282	269414	206582
283	270321	205596
284	271115	204525
285	271988	203516
286	272841	202492
287	273858	201590
288	274800	200632
289	275670	199623
290	276795	198797
291	277861	197928
292	278714	196907
293	279622	195925
294	280521	194938
295	281478	193992
296	282273	192934
297	283116	191910
298	284132	191005
299	284957	189971
300	286157	189187
301	287297	188360
302	288176	187362
303	288978	186314
304	289942	185372
305	290783	184352
306	291681	183369
307	292548	182368
308	293432	181377
309	294293	180373
310	295315	179468
311	296131	178438
312	297158	177535
313	298226	176656
314	299235	175741
315	300062	174719
316	300940	173729
317	301937	172807
318	302954	171895
319	303857	170919
320	304696	169908
321	305598	168933
322	306644	168037
323	307473	167022
324	308326	166021
325	309226	165047
326	310185	164104
327	311134	163155
328	311986	162156
329	312936	161209
330	314003	160321
331	314818	159305
332	315647	158297
333	316502	157303
334	317476	156369
335	318379	155399
336	319229	154404
337	320146	153443
338	321117	152507
339	321942	151502
340	322772	150500
341	323917	149646
342	324824	148680
343	325717	147709
344	326500	146688
345	327369	145707
346	328257	144736
347	329121	143754
348	330033	142793
349	331192	141939
350	332227	141031
351	333157	140077
352	334062	139113
353	334880	138114
354	335676	137107
355	336628	136164
356	337588	135224
357	338450	134245
358	339281	133255
359	340078	132252
360	341047	131317
361	341926	130347
362	342862	129399
363	343701	128415
364	344652	127474
365	345675	126558
366	346687	125638
367	347762	124741
368	348666	123781
369	349578	122824
370	350372	121827
371	351582	120974
372	352405	119988
373	353365	119048
374	354371	118123
375	355263	117161
376	356029	116158
377	356946	115204
378	357793	114229
379	358832	113315
380	359802	112379
381	360853	111467
382	361848	110538
383	362702	109566
384	363520	108583
385	364413	107624
386	365488	106718
387	366575	105815
388	367563	104883
389	368388	103904
390	369141	102906
391	370023	101945
392	371019	101015
393	371889	100051
394	372937	99135
395	373868	98187
396	374902	97267
397	375717	96289
398	376545	95316
399	377309	94327
400	378324	93401
401	379238	92451
402	380276	91530
403	381231	90589
404	382126	89634
405	383050	88686
406	384018	87748
407	384910	86793
408	385796	85837
409	386714	84888
410	387794	83974
411	388662	83015
412	389480	82045
413	390388	81095
414	391665	80220
415	392481	79251
416	393531	78328
417	394401	77370
418	395201	76399
419	396057	75439
420	397048	74505
421	397931	73551
422	398817	72598
423	399637	71633
424	400712	70714
425	401555	69753
426	402554	68820
427	403363	67855
428	404315	66914
429	405098	65946
430	405845	64973
431	407021	64068
432	408027	63135
433	408898	62182
434	409698	61219
435	410602	60271
436	411601	59338
437	412475	58386
438	413522	57459
439	414537	56527
440	415733	55619
441	416873	54702
442	417843	53763
443	418751	52815
444	419654	51867
445	420661	50932
446	421481	49974
447	422290	49015
448	423667	48122
449	424591	47176
450	425366	46214
451	426169	45256
452	427307	44334
453	428144	43380
454	429167	42445
455	429959	41487
456	430913	40545
457	431762	39593
458	432722	38652
459	433836	37724
460	434818	36785
461	435922	35855
462	436998	34922
463	438056	33987
464	439039	33046
465	439873	32093
466	440929	31157
467	441703	30201
468	442819	29269
469	443668	28319
470	444796	27386
471	445688	26439
472	446606	25493
473	447633	24553
474	448659	23613
475	449686	22673
476	450602	21727
477	451532	20781
478	452628	19843
479	453707	18904
480	454746	17962
481	455633	17015
482	456668	16073
483	457559	15125
484	458534	14181
485	459474	13235
486	460507	12292
487	461511	11348
488	462418	10402
489	463413	9457
490	464354	8511
491	465245	7564
492	466243	6620
493	467202	5674
494	468114	4728
495	469071	3782
496	470319	2838
497	471153	1892
498	471899	945
499	473030	0
