iter	Logloss
126	0.2506940601
127	0.2506647998
128	0.250622996
129	0.2505992595
130	0.2505688289
131	0.2505377701
132	0.2504820024
133	0.2504368479
134	0.2504053367
135	0.250367075
136	0.2503444681
137	0.2503098151
138	0.250284483
139	0.2502638861
140	0.2502300157
141	0.2502075034
142	0.2501669064
143	0.2501380217
144	0.250082762
145	0.2500495016
146	0.2500204017
147	0.2500000043
148	0.2499778607
149	0.2499495505
150	0.249939601
151	0.2499049363
152	0.2498790653
153	0.2498549541
154	0.2498401752
155	0.2498062244
156	0.2497896474
157	0.2497692725
158	0.2497575203
159	0.2497065158
160	0.2496900994
161	0.2496760251
162	0.2496481952
163	0.2496370616
164	0.2496249918
165	0.2495997576
166	0.249589196
167	0.2495772203
168	0.2495745725
169	0.249554026
170	0.2495363993
171	0.2495361716
172	0.2495106283
173	0.2494952893
174	0.2494794767
175	0.2494687756
176	0.2494317964
177	0.2494146365
178	0.2493969008
179	0.2493839324
180	0.249376866
181	0.2493449042
182	0.2493365171
183	0.2493151155
184	0.2492792742
185	0.2492493718
186	0.2492292349
187	0.2492224267
188	0.2492048771
189	0.2491901106
190	0.249179997
191	0.2491621074
192	0.2491448976
193	0.2491243588
194	0.2491064461
195	0.2491032562
196	0.2490860783
197	0.2490699897
198	0.2490541421
199	0.2490294005
200	0.2490164904
201	0.2490013516
202	0.2490001986
203	0.248996678
204	0.2489684298
205	0.2489526606
206	0.2489447323
207	0.2489303178
208	0.2489026709
209	0.2488917156
210	0.248874235
211	0.2488479139
212	0.2488328952
213	0.2488084494
214	0.2488040143
215	0.2487927368
216	0.2487723474
217	0.248748835
218	0.2487266227
219	0.2487165501
220	0.2487042301
221	0.2486920171
222	0.2486815322
223	0.2486756915
224	0.2486706267
225	0.2486629293
226	0.2486585307
227	0.2486422181
228	0.2486195611
229	0.2486073366
230	0.2485893835
231	0.2485769348
232	0.248559812
233	0.248556684
234	0.2485422581
235	0.2485289316
236	0.2485178242
237	0.2485071076
238	0.2484972998
239	0.2484852201
240	0.2484777495
241	0.248472122
242	0.2484547418
243	0.2484451229
244	0.2484420013
245	0.248417542
246	0.2484026955
247	0.2483900303
248	0.2483817384
249	0.2483628299
250	0.2483466189
251	0.248309357
252	0.2483003385
253	0.248296059
254	0.2482836537
255	0.2482708783
256	0.2482675886
257	0.2482583846
258	0.2482478349
259	0.2482439903
260	0.248230855
261	0.248214419
262	0.2482021764
263	0.2481886301
264	0.2481791007
265	0.2481643573
266	0.248135031
267	0.2481258495
268	0.2481137739
269	0.2481000832
270	0.2480772701
271	0.2480363767
272	0.2480094863
273	0.247994607
274	0.2479733188
275	0.2479667534
276	0.2479469762
277	0.2479308182
278	0.2479303372
279	0.2479229899
280	0.2479105831
281	0.2479020042
282	0.2478748755
283	0.2478743746
284	0.247842633
285	0.2478301615
286	0.2477989905
287	0.2477903015
288	0.2477801602
289	0.2477466128
290	0.2477352026
291	0.2477229043
292	0.2476911051
293	0.2476843745
294	0.2476712249
295	0.2476613043
296	0.247651692
297	0.2476155661
298	0.2476053252
299	0.2475735285
300	0.2475671324
301	0.2475483208
302	0.2475383434
303	0.2475278609
304	0.247508821
305	0.2474954501
306	0.2474951603
307	0.2474663282
308	0.247458498
309	0.2474519623
310	0.2474426913
311	0.2474092199
312	0.2473936257
313	0.2473736216
314	0.2473513088
315	0.2473129288
316	0.2473000855
317	0.2472820115
318	0.2472655263
319	0.2472604623
320	0.2472518996
321	0.2472452934
322	0.2472213292
323	0.2472179597
324	0.2472129036
325	0.2472105503
326	0.2471947418
327	0.2471691875
328	0.2471613773
329	0.2471507553
330	0.24713429
331	0.2471115603
332	0.2470939204
333	0.2470779313
334	0.2470532936
335	0.2470498194
336	0.2470403007
337	0.2470318387
338	0.2470196552
339	0.2470013618
340	0.2469742357
341	0.2469657143
342	0.246958296
343	0.2469500585
344	0.246943662
345	0.2469296941
346	0.2469214098
347	0.2469161821
348	0.2469082392
349	0.2468998482
350	0.2468831529
351	0.2468815
352	0.2468732768
353	0.2468577155
354	0.2468393668
355	0.2468258902
356	0.2468101814
357	0.2467983741
358	0.2467715248
359	0.2467617612
360	0.2467476804
361	0.2467354914
362	0.2467313275
363	0.2467279256
364	0.2467171428
365	0.2467164601
366	0.2467153392
367	0.2467084766
368	0.2466965081
369	0.2466836831
370	0.2466686705
371	0.2466627796
372	0.2466555076
373	0.2466493237
374	0.2466454999
375	0.246645025
376	0.2466411416
377	0.2466361601
378	0.2466225357
379	0.2466218859
380	0.2466194654
381	0.2466157318
382	0.2466111601
383	0.246600492
384	0.2465872466
385	0.2465809039
386	0.2465565393
387	0.2465416126
388	0.2465266391
389	0.246494936
390	0.2464807791
391	0.2464641331
392	0.2464541641
393	0.2464398128
394	0.2464350958
395	0.246427037
396	0.2464130476
397	0.2464086204
398	0.2463975351
399	0.2463886709
400	0.2463828716
401	0.2463743668
402	0.2463680787
403	0.2463568301
404	0.246348712
405	0.2463385611
406	0.2463342634
407	0.2463251002
408	0.246316481
409	0.2463085865
410	0.2463007279
411	0.2462888805
412	0.2462659752
413	0.2462518497
414	0.2462415576
415	0.2462262351
416	0.2462195158
417	0.2462101563
418	0.2462007027
419	0.2461905057
420	0.246182951
421	0.2461735379
422	0.2461684439
423	0.2461516325
424	0.246145994
425	0.2461323747
426	0.2461292528
427	0.2461125555
428	0.2461051562
429	0.2460761931
430	0.2460626155
431	0.2460549952
432	0.2460510416
433	0.2460469311
434	0.2460438407
435	0.2460344436
436	0.2460261781
437	0.2460147696
438	0.2460100226
439	0.2460068973
440	0.2460058628
441	0.2459975644
442	0.2459941323
443	0.2459886733
444	0.2459827319
445	0.2459721774
446	0.2459498411
447	0.2459363298
448	0.2459202661
449	0.2459112221
450	0.2459103693
451	0.2459097522
452	0.2459087471
453	0.245894424
454	0.2458901018
455	0.2458761202
456	0.245867241
457	0.2458609738
458	0.2458544558
459	0.2458431956
460	0.2458347435
461	0.2458257119
462	0.2458167023
463	0.2457997062
464	0.2457971845
465	0.2457862018
466	0.2457788095
467	0.2457625054
468	0.2457599592
469	0.245756522
470	0.2457490526
471	0.2457370656
472	0.2457286991
473	0.2457281551
474	0.2457181595
475	0.2456984551
476	0.2456800326
477	0.2456778668
478	0.2456738923
479	0.2456678626
480	0.245667304
481	0.2456608987
482	0.2456588184
483	0.245657589
484	0.245655795
485	0.2456406093
486	0.2456356105
487	0.2456285628
488	0.2456081842
489	0.2456011564
490	0.2455977082
491	0.2455774378
492	0.2455750465
493	0.2455487391
494	0.2455368299
495	0.2455275597
496	0.2455134733
497	0.2454957059
498	0.2454901039
499	0.2454804238
